V1,V2
EGR1,YY1
EGR1,BHLHE40
EGR1,CCNT2
EGR1,BCLAF1
EGR1,SETDB1
EGR1,TP53
EGR1,RELA
EGR1,PPARG
EGR1,ELK1
EGR1,CREB1
EGR1,STAT6
EGR1,STAT4
EGR1,SMAD3
EGR1,RORA
EGR1,REL
EGR1,PAX6
EGR1,NFKB2
EGR1,MYB
EGR1,LEF1
EGR1,EGR3
EGR1,EGR2
EGR1,CEBPA
EGR1,ATF1
EGR1,AR
EGR1,WT1
EGR1,TOPORS
EGR1,TFAP4
EGR1,SOS2
EGR1,SOS1
EGR1,RREB1
EGR1,RFX1
EGR1,POU3F3
EGR1,POU3F2
EGR1,POU3F1
EGR1,PAX2
EGR1,NFYC
EGR1,MEIS1
EGR1,MAPK1
EGR1,JUNB
EGR1,HLF
EGR1,FOXO1
EGR1,FOXD1
EGR1,FOSB
EGR1,E2F3
EGR1,DDIT3
EGR1,CUX1
EGR1,CTNNB1
EGR1,CREBBP
EGR1,BPTF
EGR1,BACH2
EGR1,ATF5
EGR1,ARNT
EGR1,AHR
EGR1,FOXM1
EGR1,HDAC1
EGR1,HEY2
EGR1,HEYL
EGR1,PITX1
EGR1,RB1
EGR1,CEACAM5
EGR1,PRAME
EGR1,CEACAM6
EGR1,CDKN1A
EGR1,APC2
EGR1,DLK1
EGR1,P2RX6
EGR1,COL4A2
EGR1,EPO
EGR1,HEPACAM
EGR1,MYEOV
EGR1,ITIH2
EGR1,MSH2
EGR1,FXYD1
EGR1,AOC3
EGR1,PTEN
EGR1,GBX2
EGR1,CNTNAP2
EGR1,EGFR
EGR1,CASP14
EGR1,IGFL3
EGR1,CDK6
EGR1,HSPB6
EGR1,COMP
EGR1,NBN
EGR1,BAX
EGR1,RAD51C
EGR1,CCND1
EGR1,WNT1
EGR1,WNT11
EGR1,CDC73
EGR1,WNT4
EGR1,RTN4RL1
EGR1,PIK3R1
EGR1,NQO2
EGR1,KCNIP2
EGR1,HRAS
EGR1,HCN2
EGR1,GRIA2
